CustomerID,potential_tier,potential_score,recency_days,order_count,robust_aov,unique_products,active_months,raw_revenue,robust_revenue
14432,High Potential,0.9238119834710743,0,6,374.75,256,3,2248.5,2248.5
13883,High Potential,0.9231257378984652,1,5,534.896,108,3,2674.48,2674.48
18210,High Potential,0.9222697756788665,0,5,488.6960000000001,105,3,2443.4800000000005,2443.4800000000005
13658,High Potential,0.9220926800472254,0,5,527.8340000000001,91,3,2639.17,2639.17
15089,High Potential,0.9199232585596221,1,6,403.47333333333336,139,4,2420.84,2420.84
15755,High Potential,0.9165584415584415,1,6,394.0416666666667,127,5,2364.25,2364.25
14554,High Potential,0.9103600944510036,1,4,569.8725,147,2,2279.49,2279.49
13536,High Potential,0.9092163518299882,0,5,487.858,76,3,2439.29,2439.29
15993,High Potential,0.9080873671782761,7,5,508.446,325,2,2542.23,2542.23
14290,High Potential,0.9010035419126327,2,5,462.93,89,4,2314.65,2314.65
17655,High Potential,0.8957570838252656,1,7,376.99142857142857,66,6,2638.94,2638.94
14701,High Potential,0.8956685360094451,1,9,280.6766666666667,268,6,2526.09,2526.09
17434,High Potential,0.8956611570247932,0,6,342.08,93,3,2052.48,2052.48
16360,High Potential,0.8945321723730815,10,5,537.494,310,3,2687.4700000000003,2687.4700000000003
13644,High Potential,0.8914920306965761,7,4,656.065,144,4,2624.26,2624.26
13115,High Potential,0.8906729634002362,2,4,573.695,88,3,2294.78,2294.78
14408,High Potential,0.8893373671782763,1,7,371.29,60,6,2599.03,2599.03
17700,High Potential,0.8863046044864226,7,4,633.6600000000001,116,4,2534.6400000000003,2534.6400000000003
16255,High Potential,0.88586186540732,7,8,327.48875,146,7,2619.91,2619.91
17188,High Potential,0.8858618654073198,2,7,353.4614285714286,71,4,2474.23,2474.23
14713,High Potential,0.8852051357733176,0,11,242.0181818181818,146,8,2662.2,2662.2
16905,High Potential,0.884172077922078,10,6,450.48333333333335,108,5,2702.9,2702.9
13755,High Potential,0.8838769185360095,0,8,243.895,219,2,1951.16,1951.16
17682,High Potential,0.8802464580873671,1,6,412.3883333333333,48,6,2474.33,2474.33
13196,High Potential,0.8802169421487602,2,4,449.445,97,3,1797.78,1797.78
17813,High Potential,0.879456906729634,5,5,339.614,297,3,1698.07,1698.07
14506,High Potential,0.8790363046044865,8,5,392.13,204,5,1960.65,1960.65
17463,High Potential,0.8782836481700118,7,5,375.172,162,5,1875.8600000000001,1875.8600000000001
14121,High Potential,0.8779368358913813,1,3,669.6633333333333,116,2,2008.99,2008.99
15394,High Potential,0.8774719598583236,0,4,545.885,54,4,2183.54,2183.54
16764,High Potential,0.8765126918536009,0,12,215.67333333333332,208,5,2588.08,2588.08
15750,High Potential,0.8763724911452184,6,7,303.2371428571428,207,5,2122.66,2122.66
14334,High Potential,0.8727346517119245,7,8,319.02625,98,8,2552.21,2552.21
17625,High Potential,0.8721959858323496,9,4,505.1,223,4,2020.4,2020.4
16057,High Potential,0.871922963400236,7,7,323.30285714285714,109,4,2263.12,2263.12
15351,High Potential,0.8710227272727272,3,7,276.38,157,4,1934.66,1934.66
14963,High Potential,0.8706832939787486,0,5,294.46799999999996,149,3,1472.34,1472.34
18179,High Potential,0.870358618654073,0,6,298.8616666666667,86,5,1793.17,1793.17
12856,High Potential,0.869849468713105,9,5,391.536,148,2,1957.68,1957.68
13588,High Potential,0.868927095631641,6,9,275.43888888888887,131,6,2478.95,2478.95
14653,High Potential,0.8687795159386068,0,6,253.93666666666664,142,3,1523.62,1523.62
16241,High Potential,0.868440082644628,0,13,199.2546153846154,347,10,2590.31,2590.31
15179,High Potential,0.8683810507674143,9,5,441.39,91,4,2206.95,2206.95
13590,High Potential,0.8674365407319953,2,6,330.32,70,6,1981.92,1981.92
14209,High Potential,0.866905253837072,1,6,345.5716666666667,55,6,2073.4300000000003,2073.4300000000003
13647,High Potential,0.8657319952774498,0,4,412.03000000000003,65,4,1648.1200000000001,1648.1200000000001
14321,High Potential,0.8654146989374263,1,5,306.15,111,5,1530.75,1530.75
14456,High Potential,0.8651416765053128,13,8,329.28999999999996,534,4,2634.3199999999997,2634.3199999999997
14215,High Potential,0.8644332939787485,2,6,298.2866666666667,98,5,1789.72,1789.72
16992,High Potential,0.8638946280991736,1,5,322.86199999999997,84,4,1614.31,1614.31
13048,High Potential,0.8636658795749705,5,4,454.8525,77,4,1819.41,1819.41
16983,High Potential,0.8630312868949231,3,7,272.26714285714286,112,6,1905.87,1905.87
14868,High Potential,0.8619170602125147,12,7,366.2142857142857,95,5,2563.5,2563.5
16115,High Potential,0.8618875442739079,0,8,207.61,169,8,1660.88,1660.88
17422,High Potential,0.8610610979929161,7,6,329.895,93,6,1979.37,1979.37
14030,High Potential,0.8605740850059032,9,8,294.855,210,6,2358.84,2358.84
15594,High Potential,0.8591204250295159,6,5,354.356,85,3,1771.78,1771.78
15527,High Potential,0.8590318772136953,9,8,303.56625,127,7,2428.53,2428.53
14482,High Potential,0.858020956316411,9,6,337.135,110,4,2022.81,2022.81
14262,High Potential,0.8563090318772136,8,7,330.5042857142857,77,6,2313.5299999999997,2313.5299999999997
14251,High Potential,0.855969598583235,1,4,599.355,37,2,2397.42,2397.42
17530,High Potential,0.8558810507674144,7,9,239.12111111111113,286,7,2152.09,2152.09
15811,High Potential,0.8558515348288075,13,6,369.77,117,5,2218.62,2218.62
15105,High Potential,0.8557408500590319,9,7,328.4185714285714,90,4,2298.93,2298.93
13149,High Potential,0.8556375442739079,5,4,419.015,76,4,1676.06,1676.06
14493,High Potential,0.8554456906729634,7,4,466.885,77,3,1867.54,1867.54
13831,High Potential,0.8536894923258559,7,6,366.4083333333333,58,5,2198.45,2198.45
13246,High Potential,0.8535345336481701,9,6,326.92,110,5,1961.52,1961.52
15572,High Potential,0.8533205430932704,16,6,389.74,162,4,2338.44,2338.44
16719,High Potential,0.8516159976387249,5,7,252.88857142857142,107,7,1770.22,1770.22
16942,High Potential,0.8514315230224321,3,9,211.66555555555556,159,5,1904.99,1904.99
17228,High Potential,0.8512101534828808,6,8,238.26125000000002,140,6,1906.0900000000001,1906.0900000000001
16128,High Potential,0.8504943919716647,8,5,376.044,76,4,1880.22,1880.22
17019,High Potential,0.8504427390791026,2,4,314.52,166,4,1258.08,1258.08
15671,High Potential,0.8493801652892561,9,7,379.59000000000003,52,5,2657.13,2657.13
17218,High Potential,0.8488562573789846,2,9,204.80888888888887,140,5,1843.28,1843.28
13632,High Potential,0.8483175914994097,15,5,423.78599999999994,121,4,2118.93,2118.93
15814,High Potential,0.8481847697756788,7,4,486.3325,63,2,1945.33,1945.33
14515,High Potential,0.848133116883117,8,6,346.1483333333333,68,4,2076.89,2076.89
16474,High Potential,0.8477198937426209,8,6,281.59,237,4,1689.54,1689.54
16910,High Potential,0.8475059031877215,0,7,189.03714285714287,286,3,1323.26,1323.26
15796,High Potential,0.8467901416765053,8,7,322.9942857142857,68,6,2260.96,2260.96
17288,High Potential,0.846413813459268,0,7,202.51857142857142,118,6,1417.6299999999999,1417.6299999999999
15009,High Potential,0.8460965171192444,3,3,419.81,148,1,1259.43,1259.43
12948,High Potential,0.8458013577331759,7,7,294.99285714285713,82,5,2064.95,2064.95
17469,High Potential,0.8455061983471074,7,5,374.194,61,5,1870.97,1870.97
15214,High Potential,0.8448347107438017,1,7,218.95428571428573,97,5,1532.68,1532.68
17738,High Potential,0.8448347107438016,10,4,469.7625,89,3,1879.05,1879.05
16710,High Potential,0.8448199527744981,10,10,246.79900000000004,268,6,2467.9900000000002,2467.9900000000002
16295,High Potential,0.8444878984651711,0,4,332.1375,70,2,1328.55,1328.55
17346,High Potential,0.8441337072018891,2,14,177.55642857142857,289,8,2485.79,2485.79
17073,High Potential,0.8431744391971665,8,4,361.5225,142,4,1446.09,1446.09
18069,High Potential,0.8429087957497048,17,5,401.848,334,5,2009.24,2009.24
12937,High Potential,0.8428571428571429,6,4,376.0675,81,4,1504.27,1504.27
15858,High Potential,0.8428571428571427,6,5,285.514,145,5,1427.5700000000002,1427.5700000000002
14719,High Potential,0.8427464580873673,1,4,293.855,153,4,1175.42,1175.42
14336,High Potential,0.8424586776859504,7,4,403.7275,77,3,1614.91,1614.91
14591,High Potential,0.8418831168831169,6,4,330.0525,138,2,1320.21,1320.21
13650,High Potential,0.8417724321133412,7,6,306.0566666666667,79,5,1836.3400000000001,1836.3400000000001
15444,High Potential,0.8410640495867769,0,2,705.605,191,2,1411.21,1411.21
16407,High Potential,0.8405622786304604,3,10,207.968,99,8,2079.68,2079.68
13862,High Potential,0.8401859504132232,9,8,276.17,97,8,2209.36,2209.36
13975,High Potential,0.8399498229043684,22,6,410.20666666666665,240,5,2461.24,2461.24
17314,High Potential,0.8390569657615112,15,8,315.99,120,7,2527.92,2527.92
16440,High Potential,0.8373597992916175,20,4,666.3100000000001,142,3,2665.2400000000002,2665.2400000000002
15680,High Potential,0.8364964580873673,0,3,444.56,61,3,1333.68,1333.68
16271,High Potential,0.8355150531286895,6,4,347.41,88,4,1389.64,1389.64
15628,High Potential,0.8349985242030695,15,8,333.41125,83,7,2667.29,2667.29
18188,High Potential,0.8349321133412042,6,3,667.0133333333333,63,3,2001.04,2001.04
13804,High Potential,0.8341794569067296,21,7,369.77,124,4,2588.39,2588.39
16782,High Potential,0.8341794569067296,1,13,174.4576923076923,103,8,2267.95,2267.95
